Country,PIN,City,State,State_ID,District,District_ID,Community,Lat,Lng,Loc_accuracy,District_1
IN,621804,Managethi,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,10.9123,79.1398,3,Ariyalur
IN,621804,Edayar,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,10.9123,79.1398,3,Ariyalur
IN,621804,Zamin Suthamalli,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,10.9123,79.1398,3,Ariyalur
IN,621804,Irumbilikurichi,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,10.9123,79.1398,3,Ariyalur
IN,621804,Pilichikuli,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,10.9123,79.1398,3,Ariyalur
IN,621804,T.Solankurichi,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,10.9123,79.1398,3,Ariyalur
IN,621804,Udayarpalayam West,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,10.9123,79.1398,3,Ariyalur
IN,621804,Venmankondan,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,10.9123,79.1398,3,Ariyalur
IN,621804,Kumiliam,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,10.9123,79.1398,3,Ariyalur
IN,621805,Periakrishnapuram,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,11.3553,79.4186,3,Ariyalur
IN,621805,Varadarajampettai,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.3553,79.4186,4,Ariyalur
IN,621805,Thennur,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.3553,79.4186,3,Ariyalur
IN,621805,Tirukalappur,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,11.3553,79.4186,3,Ariyalur
IN,621805,Kilaneduvoi,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.3553,79.4186,3,Ariyalur
IN,621806,Devanur,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,11.2653,79.3172,4,Ariyalur
IN,621806,Variyankaval,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,11.2383,79.3069,4,Ariyalur
IN,621806,Pudukudi,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.1605,79.2442,4,Ariyalur
IN,621806,Pilakurichi,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,10.9351,79.2152,3,Ariyalur
IN,621806,Kandiankollai,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,10.9351,79.2152,3,Ariyalur
IN,621806,Ilaiyur,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.2259,79.3087,4,Ariyalur
